productId,platform,brand,productName,displayNameCandidate,changed,changeType,riskLevel,reason
1446,oliveyoung,쥬베룩,쥬베룩 PDLLA 콜라겐 부스팅 마스크 4매,쥬베룩 PDLLA 콜라겐 부스팅 마스크 4매,False,NO_CHANGE,safe,
730,musinsa,elizabetharden,그린티 허니드롭스 바디크림 500ml,그린티 허니드롭스 바디크림 500ml,False,NO_CHANGE,safe,
743,oliveyoung,네시픽,[짜서쓰는클밤/쫀쫀모공] 네시픽 라이스 펩타 콜라겐 샤베트 클렌징밤 80g,[짜서쓰는클밤/쫀쫀모공] 네시픽 라이스 펩타 콜라겐 샤베트 클렌징밤 80g,False,NO_CHANGE,safe,
348,musinsa,obge,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,False,NO_CHANGE,safe,
580,musinsa,hamel,비건 릴리프 워터 에센스 선크림,비건 릴리프 워터 에센스 선크림,False,NO_CHANGE,safe,
978,musinsa,beplain,[SET] 아쿠아 퓨어 히알루로닉 크림  2개 + 세럼 2개 (증정: 멀티 히알루론산 마스크 5매),아쿠아 퓨어 히알루로닉 크림 2개 + 세럼 2개 (증정: 멀티 히알루론산 마스크 5매),True,MULTI_RULE,review,[SET]
476,musinsa,onthebody,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,False,NO_CHANGE,safe,
1052,oliveyoung,쥬베룩,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),False,NO_CHANGE,safe,
1139,musinsa,typeno,TYPE No.91 원더바이브 핸드워시 350ml,TYPE No.91 원더바이브 핸드워시 350ml,False,NO_CHANGE,safe,
807,oliveyoung,바이오던스,[NEW/단독선런칭] 바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),True,REMOVE_LEADING_PROMO_BRACKET,safe,[NEW/단독선런칭]
1178,oliveyoung,조성아뷰티,[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),True,REMOVE_LEADING_PROMO_BRACKET,review,[성한빈 PICK]
707,musinsa,innisfree,[사은품 증정] (대용량) 그린티 씨드 히알루론산 크림 80mL + 15mL 2개 + 화산송이 폼 30g 1개,(대용량) 그린티 씨드 히알루론산 크림 80mL + 15mL 2개 + 화산송이 폼 30g 1개,True,REMOVE_LEADING_PROMO_BRACKET,safe,[사은품 증정]
545,musinsa,irecipe,[콜라보] 블랙헤드 세라마이드 유자 힐링 클렌징 밤 135ml+여행용 10g+헤어핀 굿즈,블랙헤드 세라마이드 유자 힐링 클렌징 밤 135ml+여행용 10g+헤어핀 굿즈,True,REMOVE_LEADING_PROMO_BRACKET,safe,[콜라보]
1416,musinsa,imfrom,라이스 토너 150ml,라이스 토너 150ml,False,NO_CHANGE,safe,
1272,oliveyoung,AHC,[포켓몬 에디션] AHC 프로샷 아이크림 포페이스 30ml 기획 (+세럼 10ml+피카츄 액정클리너),AHC 프로샷 아이크림 포페이스 30ml 기획,True,MULTI_RULE,safe,[포켓몬 에디션]; (+세럼 10ml+피카츄 액정클리너)
1528,musinsa,lush,스토미 웨더 200ml - 보디 스프레이,스토미 웨더 200ml - 보디 스프레이,False,NO_CHANGE,safe,
733,musinsa,torriden,[SET] 다이브인 저분자 히알루론산 스킨부스터 200ml  x 2개,다이브인 저분자 히알루론산 스킨부스터 200ml x 2개,True,MULTI_RULE,review,[SET]
327,musinsa,beyond,비욘드 딥모이스처 스무딩 바디에멀전 500ml,비욘드 딥모이스처 스무딩 바디에멀전 500ml,False,NO_CHANGE,safe,
1348,musinsa,brookesia23,브리즈핏 톤업 선베이스,브리즈핏 톤업 선베이스,False,NO_CHANGE,safe,
698,musinsa,snature,[2PACK] 아쿠아 스쿠알란 세럼 70ml,[2PACK] 아쿠아 스쿠알란 세럼 70ml,False,NO_CHANGE,safe,
1094,musinsa,illiyoon,프레쉬모이스춰 바디워시 500ml 2입,프레쉬모이스춰 바디워시 500ml 2입,False,NO_CHANGE,safe,
267,musinsa,illiyoon,[증정] 무향 100시간 보습 세라마이드 아토 로션 350ml 2입,무향 100시간 보습 세라마이드 아토 로션 350ml 2입,True,REMOVE_LEADING_PROMO_BRACKET,review,[증정]
232,musinsa,wellage,리얼 히알루로닉 100 토너 500ml,리얼 히알루로닉 100 토너 500ml,False,NO_CHANGE,safe,
665,musinsa,dermab,프레쉬 모이스처 바디 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,프레쉬 모이스처 바디 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,False,NO_CHANGE,safe,
770,musinsa,dermab,데일리 모이스처 바디로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,데일리 모이스처 바디로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,False,NO_CHANGE,safe,
